epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,223.954,1.47254,2.07073,1.30758,0.4036,0.52456,0.41476,0.28077,1.93423,3.31112,1.80827,0.000476036,0.000476036,0.000476036
2,437.298,1.37746,1.61199,1.28903,0.42069,0.52292,0.40382,0.27807,1.99477,3.37811,1.72887,0.000889513,0.000889513,0.000889513
3,649.834,1.32727,1.47785,1.26904,0.40101,0.55955,0.39666,0.28258,1.9217,3.70958,1.66411,0.00124011,0.00124011,0.00124011
4,853.49,1.25273,1.35692,1.23665,0.53027,0.56902,0.50198,0.34543,1.7799,3.97571,1.64861,0.00114606,0.00114606,0.00114606
5,1056.32,1.27724,1.38702,1.25505,0.5446,0.59779,0.50666,0.3501,1.70026,2.24584,1.55019,0.00105174,0.00105174,0.00105174
6,1256.77,1.41167,1.58313,1.38306,0.53314,0.57922,0.49355,0.3398,1.75303,2.45986,1.59354,0.00095743,0.00095743,0.00095743
7,1457.12,1.37224,1.46203,1.36239,0.51755,0.59786,0.51161,0.3585,1.5784,2.19277,1.44407,0.000863116,0.000863116,0.000863116
8,1657.47,1.31446,1.38234,1.31895,0.51879,0.63025,0.51074,0.35177,1.58827,2.16026,1.4554,0.000768802,0.000768802,0.000768802
9,1858.32,1.28208,1.32055,1.28699,0.5624,0.5998,0.51421,0.36057,1.54461,2.12045,1.39769,0.000674488,0.000674488,0.000674488
10,2059.49,1.22105,1.25211,1.25708,0.55232,0.62748,0.53845,0.37681,1.497,1.8875,1.37141,0.000580174,0.000580174,0.000580174
11,2260.65,1.1911,1.19096,1.22947,0.58195,0.64732,0.5741,0.40263,1.452,1.74653,1.33919,0.00048586,0.00048586,0.00048586
12,2461.66,1.1723,1.15911,1.21629,0.62074,0.66079,0.60549,0.42462,1.37833,1.55676,1.28485,0.000391546,0.000391546,0.000391546
13,2663.57,1.14793,1.11213,1.20142,0.64083,0.64928,0.60601,0.42385,1.3747,1.61027,1.27778,0.000297232,0.000297232,0.000297232
14,2864.73,1.11391,1.09147,1.18692,0.67307,0.64593,0.62931,0.44544,1.33178,1.53435,1.249,0.000202918,0.000202918,0.000202918
15,3064.63,1.07682,1.05099,1.16498,0.68321,0.65568,0.65249,0.46287,1.3135,1.48948,1.22622,0.000108604,0.000108604,0.000108604
