epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,911.877,1.37592,2.37591,1.4871,0.58868,0.4221,0.44618,0.24352,1.38224,1.7751,1.40856,0.000237674,0.000237674,0.000237674
2,1811.74,1.27574,1.67551,1.40936,0.63271,0.48041,0.51388,0.29248,1.31898,1.58133,1.36775,0.000467825,0.000467825,0.000467825
3,2601.8,1.24356,1.55145,1.38128,0.67803,0.49596,0.54824,0.31181,1.32408,1.45883,1.33765,0.000690123,0.000690123,0.000690123
4,3322.26,1.21706,1.45653,1.34913,0.71504,0.50529,0.57172,0.32777,1.27786,1.41735,1.29373,0.000678657,0.000678657,0.000678657
5,4038.2,1.18892,1.37814,1.33333,0.7203,0.54074,0.60052,0.35555,1.24222,1.28171,1.26828,0.000666876,0.000666876,0.000666876
6,4759.14,1.16421,1.30664,1.30775,0.74448,0.57456,0.63053,0.37158,1.23238,1.20414,1.26598,0.000655095,0.000655095,0.000655095
7,5482.92,1.13672,1.24653,1.29277,0.7553,0.56816,0.63717,0.38269,1.21173,1.15861,1.25145,0.000643314,0.000643314,0.000643314
8,6204.69,1.11694,1.19291,1.27543,0.76961,0.59512,0.66462,0.40629,1.18487,1.07416,1.22637,0.000631533,0.000631533,0.000631533
9,6925.57,1.10132,1.15782,1.26279,0.77939,0.60061,0.66899,0.41182,1.16675,1.05783,1.21861,0.000619752,0.000619752,0.000619752
10,7664.97,1.08472,1.11886,1.25272,0.80963,0.61193,0.68544,0.42832,1.15477,1.00787,1.20152,0.000607971,0.000607971,0.000607971
11,8383.79,1.07054,1.08883,1.24561,0.81622,0.60592,0.68549,0.42337,1.16207,1.00183,1.20278,0.00059619,0.00059619,0.00059619
12,9091.64,1.05527,1.0605,1.23561,0.80352,0.61504,0.6947,0.43621,1.11998,0.94989,1.17168,0.000584409,0.000584409,0.000584409
13,9802.89,1.04793,1.0389,1.22789,0.82578,0.61749,0.70322,0.44568,1.10776,0.95201,1.17192,0.000572628,0.000572628,0.000572628
14,10527.8,1.02908,1.01731,1.21753,0.80774,0.63436,0.70795,0.44767,1.10452,0.92226,1.16144,0.000560847,0.000560847,0.000560847
