epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,205.144,1.83631,3.51951,1.54551,0.501,0.16353,0.13808,0.07916,2.05051,6.15222,1.79586,0.000195947,0.000195947,0.000195947
2,388.243,1.68706,2.74059,1.4807,0.3721,0.2218,0.14951,0.08846,1.9533,7.31642,1.74124,0.000372546,0.000372546,0.000372546
3,579.161,1.64244,2.51113,1.47835,0.38655,0.26784,0.18569,0.1061,1.82326,3.2746,1.69361,0.00052974,0.00052974,0.00052974
4,767.373,1.57729,2.33536,1.45048,0.31039,0.28218,0.18591,0.10838,1.80487,6.63229,1.65305,0.000500682,0.000500682,0.000500682
5,950.808,1.54459,2.24636,1.44382,0.2993,0.29055,0.17685,0.10302,1.80078,8.22131,1.66052,0.000471576,0.000471576,0.000471576
6,1132.58,1.51368,2.18281,1.42629,0.32608,0.30827,0.19327,0.10657,1.75434,8.5648,1.66487,0.00044247,0.00044247,0.00044247
7,1314.03,1.48546,2.0956,1.40378,0.30936,0.31783,0.20161,0.11327,1.71142,7.89193,1.57723,0.000413364,0.000413364,0.000413364
8,1496.28,1.44237,2.02444,1.38687,0.31921,0.34643,0.19776,0.10988,1.76978,13.0066,1.63882,0.000384258,0.000384258,0.000384258
9,1679.32,1.42938,1.95565,1.37933,0.32776,0.29795,0.19454,0.10649,1.76035,11.706,1.59052,0.000355152,0.000355152,0.000355152
10,1861.76,1.40717,1.90352,1.36654,0.31205,0.32495,0.20539,0.11322,1.69026,6.05972,1.52439,0.000326046,0.000326046,0.000326046
11,2051.83,1.48713,1.90272,1.40691,0.31574,0.30966,0.19816,0.11165,1.62227,7.29273,1.51249,0.00029694,0.00029694,0.00029694
12,2248.81,1.44981,1.78047,1.37877,0.38168,0.32452,0.23827,0.13201,1.62166,3.8586,1.51213,0.000267834,0.000267834,0.000267834
13,2445.63,1.41707,1.71275,1.36773,0.40648,0.32598,0.24419,0.1367,1.62226,4.38518,1.53726,0.000238728,0.000238728,0.000238728
14,2642.41,1.40008,1.65955,1.35182,0.37355,0.31772,0.23457,0.13156,1.59308,4.42067,1.47067,0.000209622,0.000209622,0.000209622
15,2839.31,1.37229,1.59683,1.33053,0.44168,0.30113,0.26078,0.14588,1.58594,5.66805,1.45958,0.000180516,0.000180516,0.000180516
16,3035.94,1.33977,1.55192,1.30774,0.42122,0.30144,0.24337,0.13582,1.58144,4.67773,1.46384,0.00015141,0.00015141,0.00015141
17,3232.79,1.31075,1.51734,1.29578,0.4298,0.31388,0.2541,0.14266,1.57992,5.40749,1.44941,0.000122304,0.000122304,0.000122304
18,3429.23,1.29885,1.49165,1.28751,0.42669,0.30011,0.24245,0.13529,1.58679,4.59875,1.44264,9.3198e-05,9.3198e-05,9.3198e-05
19,3625.64,1.28904,1.46607,1.27526,0.46628,0.29561,0.25187,0.14128,1.57831,4.41382,1.42055,6.4092e-05,6.4092e-05,6.4092e-05
20,3822.28,1.27967,1.42611,1.26861,0.48646,0.28826,0.26087,0.14804,1.56405,4.11163,1.4167,3.4986e-05,3.4986e-05,3.4986e-05
